"";"*gr_01";"*gr_02"
"civilizado";0;10
"véspera";3;17
"aliás";0;28
"psdb_mg";1;34
"reduzido";4;14
"publicitário";3;33
"salvar";9;15
"honra";3;10
"bndes";7;89
"julho";2;59
"lucro";0;25
"literalmente";8;3
"acusar";49;143
"grave";19;78
"amanhã";10;19
"responder";26;198
"trânsito";0;27
"reserva";2;24
"ativo";7;41
"prédio";8;70
"marinho";12;26
"df";6;36
"de";5662;41522
"propriedade";3;48
"jovem";12;38
"dr";6;11
"junho";4;66
"inadequado";2;15
"olhar";10;63
"cooperação";0;36
"sentido";6;98
"cancelar";4;11
"distante";0;11
"frequência";4;7
"dividir";6;40
"gravidez";0;12
"emenda";9;47
"paraná";12;93
"termo";7;73
"aplicação";2;21
"operador";2;39
"domiciliar";4;27
"ex_assessor";4;35
"com";622;4094
"doente";3;11
"tona";4;16
"candidato";13;219
"inteligência";10;46
"jogador";4;12
"saída";4;79
"atribuir";4;48
"temporário";4;19
"perseguir";2;24
"cobertura";0;13
"assegurar";2;52
"inicialmente";0;21
"vaga";2;35
"eleito";2;36
"metade";3;34
"função";7;84
"sigiloso";1;12
"evitar";14;117
"anual";2;14
"empresário";42;335
"péssimo";3;15
"aluguel";0;21
"mim";8;61
"obstruir";5;9
"recurso";14;292
"campo";3;84
"1970";3;12
"coragem";5;11
"the";12;34
"desembargador";5;88
"milhão";96;535
"cardoso";2;15
"antes";25;288
"companheiro";6;15
"solicitação";0;14
"marginal";0;17
"passivo";12;100
"torcer";2;9
"perigoso";12;43
"divulgação";6;43
"liminar";0;34
"específico";8;30
"delatar";11;13
"desemprego";7;25
"documento";25;194
"matéria";23;27
"neve";47;141
"tucano";7;71
"ministro";162;752
"josé";35;161
"al_assad";7;20
"existente";4;8
"post";3;10
"viés";0;10
"ligação";7;33
"lavar";3;13
"questão";34;200
"reforçar";7;66
"rápido";13;51
"flagrar";14;17
"palco";1;13
"assustar";5;9
"moeda";6;8
"esposo";11;33
"atualização";1;22
"procurado";0;13
"artigo";6;60
"ceder";0;15
"prefeitura";5;47
"isis";7;4
"wyllys";4;13
"frederico";4;35
"dívida";11;45
"ganhar";20;101
"inclusive";12;87
"pt_sp";1;12
"desviar";12;35
"face";2;13
"tese";4;27
"derrotar";1;15
"mineiro";2;24
"mérito";1;14
"intensificar";2;9
"licença";1;19
"critério";0;19
"promessa";3;19
"abertura";2;74
"esquecer";6;11
"isolado";1;14
"autorização";2;54
"global";14;47
"palestra";9;23
"muito";67;657
"elevado";2;30
"psol";1;27
"ronan";6;8
"funcionar";6;71
"espécie";9;62
"doença";2;20
"sentença";17;92
"p";0;13
"turno";1;28
"funcional";1;9
"colaborador";2;32
"levar";31;265
"ditadura";4;33
"petista";85;150
"joão";31;176
"revista";22;57
"participar";17;156
"cargo";38;218
"curso";2;37
"discutir";1;109
"v";3;10
"mudar";16;111
"excesso";0;16
"desistir";1;34
"bangu";3;11
