"";"*gr_01";"*gr_02"
"marco";9;117
"ex_governador";5;52
"marca";6;25
"bolsa";3;28
"bolso";2;10
"conselheiro";4;16
"limitado";1;13
"popular";11;68
"compensar";1;10
"parado";2;26
"discordar";1;11
"permitir";7;126
"duvidar";2;9
"soares";2;18
"autoridade";20;248
"rua";12;104
"rebater";4;22
"tocar";0;19
"benfica";0;13
"padilha";2;52
"análise";5;92
"prevenir";3;10
"instrução";0;12
"papua";0;16
"absurdo";3;22
"trato";2;10
"bloco";0;14
"agradecer";2;9
"mobilização";0;17
"gastar";6;12
"70";6;28
"legítimo";5;14
"excepcional";3;9
"visar";5;21
"ativista";0;13
"cabral";12;58
"preocupação";7;61
"tranquilo";2;24
"governo";127;1020
"tamanho";7;29
"similar";2;14
"detalhar";7;23
"implementar";3;13
"presunção";2;11
"emílio";3;24
"lembrar";10;117
"denice";0;10
"caminhar";2;16
"recordar";0;10
"demitir";5;11
"justamente";3;19
"militante";5;14
"açougueiro";12;0
"contratar";6;27
"requerimento";1;23
"advertência";6;10
"globonews";0;14
"alvorada";0;18
"pretender";9;83
"governante";0;14
"visita";4;59
"vaccari";9;58
"urgente";6;12
"frança";2;37
"mentira";9;31
"pessoa";81;643
"evidente";0;15
"suposto";14;110
"aparente";2;8
"g1";3;183
"facebook";3;16
"ocultar";1;12
"michael";3;14
"bimotor";1;11
"faturamento";3;15
"estimar";8;38
"ofensiva";3;7
"assustador";1;11
"irresponsável";2;17
"suborno";1;14
"convocação";0;12
"constatar";1;18
"acidente";4;55
"céu";3;10
"relacionamento";5;13
"claro";28;159
"violento";1;29
"facilmente";1;10
"jungmann";3;30
"despacho";1;19
"formado";2;14
"trocar";10;36
"links";1;16
"uruguai";7;18
"projétil";2;13
"acertado";1;16
"diretamente";10;49
"gosto";1;25
"querido";0;14
"basicamente";0;11
"africano";0;13
"circular";4;11
"assessoria";9;83
"concentração";0;11
"segovia";0;12
"editar";1;9
"intervir";2;11
"estadão";8;28
"culpado";3;13
"agenda";2;71
"aeronáutica";0;10
"sessão";4;55
"decorrência";0;14
"exclusivamente";1;22
"desejar";3;25
"consenso";0;15
"abreu";2;13
"alguém";20;80
"afastamento";1;29
"fornecer";9;28
"modo";6;53
"globo";45;51
"contabilizar";0;19
"illuminati";3;14
"700";2;11
"democracia";13;93
"mau";2;29
"nomear";2;30
"causa";15;102
"conferência";3;12
"coreias";0;11
"segredo";5;11
"pentágono";2;31
"jogar";13;33
"cheiro";3;7
"único";21;141
"acima";19;67
"herdeiro";0;12
"final";16;214
"quando";51;536
"bem";43;252
"igreja";5;17
"procurador_geral";2;86
"pressão";5;50
"mês";40;269
"crescente";1;23
"supostamente";3;27
"suspensão";8;34
"pedaço";5;12
"necessidade";6;74
"diplomacia";0;19
"abastecer";5;13
"falha";2;15
"jorge";4;26
"batizar";2;16
"caça";7;15
"51";0;16
"cima";5;19
"intimidação";2;13
"tornar";16;133
"comitê";1;25
"confrontar";3;7
"escritório";1;33
"passo";5;51
"atuar";9;153
"tiro";1;37
"atual";23;155
"b";8;28
"embargo";1;26
"120";0;10
"somente";22;60
"grau";2;33
"encerrar";16;17
"trf4";1;27
"palocci";20;175
"gênero";4;7
"médio";11;64
"escrever";12;66
"humano";5;64
"futebol";1;20
"bloqueado";0;14
"antimíssil";3;9
"luz";2;10
"antonio";5;70
"macron";0;13
"confundir";4;10
"provável";18;25
"delcídio";0;25
"apelo";4;24
"yuka";0;14
"processual";0;25
"proteger";13;37
"limite";11;46
"escritura";0;10
"harmonia";0;10
"diplomata";4;14
"ligado";5;42
"cena";2;13
"entrada";3;37
"reclamação";0;13
"possibilidade";11;119
"assassinar";5;13
"mesmo";90;594
"possível";23;200
"parte";66;398
"abaixo";38;150
"vitor";0;12
"presidência";12;198
"desfecho";0;12
"empregado";1;14
"representante";2;65
"estado";81;794
"oab";0;21
"prosseguir";2;9
"temer";12;43
"físico";3;27
"onda";1;17
"racional";3;7
"40";3;57
"sexto";3;52
"41";2;15
"demissão";3;10
"testemunho";4;12
"testemunha";3;49
"execução";1;46
"minoria";0;10
"fechar";8;79
"inerente";0;10
"juntar";8;27
"fortalecer";1;14
"fato";42;342
"definitivo";2;28
"costumar";2;22
"pacheco";3;21
"fernando";6;112
"estabelecimento";1;20
"determinar";8;105
"rota";1;16
"porta_aviões";24;27
"twitter";9;56
"zanin";5;39
"congresso";19;204
"homs";1;11
"velocidade";2;15
"morrer";14;66
"motivo";12;57
"preconceito";0;18
"importação";0;21
"usar";52;157
"soviético";4;31
"autoria";2;21
"ação";52;467
"24";6;63
"outubro";3;64
"mudo";2;19
"antônio";6;39
"ex_executivo";4;12
"raquel";0;33
"questionar";17;151
"anulação";1;9
"parede";0;12
"norte";136;507
"instância";14;183
"tramitar";1;26
"diplomático";5;27
"pmdb_ce";0;14
"ha";0;10
"vigente";0;10
"helicóptero";3;12
"começo";1;18
"converter";0;11
"oposto";4;11
"vigor";0;15
"regra";6;95
"opositor";1;9
"frigorífico";9;74
"sempre";22;196
"etapa";2;25
"apesar";3;116
"urna";1;16
"armazenamento";0;12
"índio";7;24
"indulto";2;16
"convite";0;18
"greve";0;21
"decorrente";0;16
"rural";5;23
"benefício";5;88
"derrota";1;18
"expulsar";2;8
"4a";2;36
"faixa";0;13
"presente";15;54
"frango";2;17
"prisional";0;14
"desembarcar";11;11
"sigilo";8;75
"exigir";8;78
"segmento";3;8
"braga";1;25
"reforma";13;337
"utilização";1;14
"válido";0;12
"fhc";8;13
"manifestante";10;56
"segurança";37;350
"sírio";41;250
"prioridade";1;27
"andré";3;35
"trágico";3;7
"tipo";22;145
"ferido";0;13
"reiterar";1;40
"papudo";4;6
"proximidade";1;15
"restar";6;20
"meu";34;146
"departamento";6;65
"100";13;79
"acesso";6;97
"repercussão";2;13
"áudio";13;37
"adolescente";0;11
"resto";3;12
"alexandrino";2;22
"morar";4;35
"moral";13;39
"pyongyang";19;134
"guarujá";7;53
"obstrução";9;56
"defensor";3;41
"arma";59;191
"fenômeno";0;26
"pacto";1;26
"melhorar";3;32
"candidatura";1;74
"união";8;116
"surpreender";3;17
"titular";1;17
"retorno";3;21
"desempregado";0;10
"alegre";5;34
"imprevisível";2;10
"caixa";13;122
"consistente";0;11
"suspender";7;52
"jacob";2;19
"liberdade";9;89
"crer";1;46
"prevenção";0;19
"corporação";2;21
"respectivamente";2;8
"propósito";1;12
"comunidade";2;46
"mensagem";17;87
"mencionar";2;37
"escapar";10;13
"consultoria";0;17
"quinta_feira";4;109
"mando";5;5
"venezuela";12;27
"foto";14;50
"resumo";2;12
"guilherme";1;9
"entrar";39;157
"enfrentamento";0;14
"caráter";6;19
"economista";0;11
"formação";1;23
"rastrear";2;12
"preencher";0;13
"esquema";24;109
"inferno";5;5
"torre";1;10
"gravação";15;104
"gerar";10;61
"segundo";63;1012
"abril";19;84
"redação";0;11
"requisito";0;20
"abrir";24;87
"geral";13;142
"agressivo";5;7
"sentimento";1;14
"eunício";5;42
"mina";3;58
"ex_deputado";21;74
"máquina";2;20
"regular";0;19
"sonda";0;10
"maria";5;56
"alimento";9;22
"inglaterra";2;8
"simplesmente";8;18
"previdenciário";0;18
"província";4;13
"leitura";0;22
"anticorrupção";1;11
"anunciar";20;143
"sozinho";7;24
"comportar";2;9
"principalmente";4;52
"aposta";1;24
"12";11;144
"ilha";3;24
"suspeita";5;52
"16";11;61
"disco";0;12
"19";5;74
"plenário";13;95
"tramitação";1;29
"preto";0;24
"01";3;7
"04";7;8
"05";3;8
"09";4;11
"marcar";7;74
"oferta";0;14
"sair";19;185
"omc";0;10
"pesquisador";2;17
"adiar";5;16
"triplex";14;139
"mínimo";10;66
"recebido";3;10
"falar";77;401
"apresentação";2;22
"concluir";10;58
"ocorrer";32;207
"inclusão";0;11
"durante";106;335
"contrato";15;160
"judiciário";11;96
"coluna";3;13
"dólar";13;23
"restante";1;14
"usado";26;100
"pista";2;17
"funcionário";23;78
"destruição";3;22
"processar";4;21
"estratégia";19;71
"encontrar";27;159
"resolvido";2;8
"cinza";5;6
"ex_prefeito";1;16
"expressamente";0;10
"ir";732;4230
"in";2;18
"alimentar";4;20
"gilmar";32;72
"livrar";5;9
"residência";6;37
"livre";5;65
"estadual";5;64
"livro";8;57
"aparecer";23;68
"produzir";3;56
"envio";2;11
"preste";9;8
"parlamento";6;23
"sul_coreano";4;26
"programa";17;165
"800";0;14
"coreano";19;36
"personagem";0;12
"venda";2;72
"okamotto";0;23
"conflito";22;58
"esporte";0;12
"vice_presidência";1;9
"diferenciado";1;11
"declaração";23;144
"assim";29;236
"aéreo";21;96
"golpista";9;7
"natal";0;11
"assis";3;7
"aproximação";0;18
"negar";19;185
"documentação";3;14
"rever";0;14
"outro";113;923
"inúmero";1;12
"rejeitar";3;47
"nervoso";6;4
"apontar";18;127
"normal";6;25
"perdão";0;14
"carta";8;53
"jinping";14;23
"aumento";5;57
"super";12;3
"trabalho";18;198
"implicar";0;14
"rejeição";1;9
"tecnologia";2;32
"almeida";1;9
"aplicado";2;13
"armada";7;6
"presídio";2;43
"foro";34;143
"baixo";8;61
"impressionante";7;11
"economia";14;114
"logístico";1;9
"trabalhista";3;53
"metropolitano";0;13
"propaganda";1;27
"avançar";2;33
"condição";6;117
"tarde";19;68
"atividade";6;96
"jamais";6;62
"definitivamente";2;10
"digital";3;15
"humberto";9;4
"publicar";52;90
"interrupção";0;11
"optar";2;16
"poderoso";17;19
"russo";21;107
"chinês";20;71
"parcela";2;17
"armar";8;10
"menor";6;64
"menos";30;212
"lauro";2;8
"propina";71;365
"pertencer";2;52
"sarney";2;20
"0";0;32
"chanceler";3;12
"dia";88;669
"item";2;25
"custo";5;49
"inocência";1;33
"calcular";4;12
"lixo";9;8
"cozinha";0;14
"lógico";0;10
"terça_feira";8;99
"48";1;11
"lógica";2;10
"emitir";11;34
"agosto";5;72
"ogiva";8;19
"viagem";4;48
"instituto";16;146
"boi";4;15
"transmitir";4;16
"bom";31;199
"lewandowski";3;17
"condenação";9;174
"enorme";1;33
"ex_ministro";21;174
"finalizar";6;11
"peru";2;9
"repudiar";1;17
"incompetente";3;11
"prejudicar";11;34
"monetário";0;10
"disputa";6;69
"institucional";5;49
"ambos";11;56
"facilitar";4;30
"otimista";0;12
"cérebro";1;9
"planalto";9;140
"mar";14;41
"may";2;13
"proporção";4;12
"mal";1;69
"sofrer";28;79
"jair";7;25
"vieira";4;55
"indignação";0;12
"operário";0;12
"canadá";2;11
"mais";270;1527
"abuso";3;81
"maia";27;151
"estragado";9;3
"falsidade";0;10
"jornalista";49;59
"avião";17;84
"negociação";5;108
"47";1;10
"tropa";14;32
"primeira_ministra";3;10
"e_mail";1;26
"especulação";3;16
"agir";27;58
"fazer";260;1614
"sugerir";18;52
"vagabundo";6;8
"___________________";0;51
"kcna";16;7
"espanhol";1;16
"água";15;95
"chave";4;16
"torno";10;32
"resolução";1;34
"tornozeleira";2;22
"acrescentar";9;93
"insistir";3;35
"apagar";3;12
"registrar";9;80
"trata_se";3;30
"americano";61;352
"carro";2;39
"secretaria_geral";0;11
"antiaéreo";0;10
"permanência";0;14
"equilíbrio";2;15
"reafirmar";2;21
"1a";5;10
"ribeiro";0;29
"renúncia";5;32
"1o";1;26
"moscou";6;24
"ordem";19;160
"subterrâneo";5;9
"cumprimento";1;35
"10";29;165
"13";7;71
"15";22;108
"número";16;162
"17";14;54
"pegar";16;50
"comunista";13;19
"princípio";2;44
"aumentar";13;87
"alemanha";11;24
"colunista";5;24
"requerer";0;19
"submeter";1;27
"convidar";2;13
"venezuelano";5;25
"interior";4;28
"200";11;26
"laranja";2;10
"atibaia";5;22
"choque";2;8
"digno";4;12
"falta";3;92
"indevidamente";0;10
"corrente";1;23
"show";4;9
"preciso";6;100
"zanon";0;20
"bombardeiro";12;8
"população";21;136
"científico";1;19
"realmente";16;52
"soltar";24;38
"atribuição";0;22
"circunstância";6;36
"calar";9;4
"sucessivo";2;12
"razão";6;112
"honesto";18;8
"chuva";0;21
"relativo";2;29
"certeza";5;42
"campino";0;24
"proposta";16;199
"aviso";7;5
"achar";30;215
"quadro";6;24
"embaixada";6;6
"renunciar";11;25
"lopes";0;11
"refletir";2;9
"medeiros";2;19
"solicitar";3;85
"indicador";0;13
"democrático";3;62
"crescimento";0;53
"garoto";3;12
"estrito";2;8
"família";22;157
"administrar";1;18
"partido";30;405
"origem";3;50
"quatro";5;126
"pedágio";0;10
"preocupar";4;26
"alvo";15;122
"hotmail";0;15
"imputar";0;10
"colegiado";1;14
"par";1;11
"psicológico";2;9
"pau";4;6
"argumento";6;55
"paz";7;47
"maré";0;26
"continuidade";1;14
"reinaldo";3;9
"igualmente";0;17
"então";21;358
"condomínio";0;11
"necessariamente";2;18
"espírito";0;10
"restrição";4;32
"soldado";11;18
"parar";14;37
"desconfiança";1;18
"viver";16;107
"estimular";0;17
"cláusula";1;12
"gestor";0;11
"tesoureiro";2;10
"cabo";2;13
"imagem";26;93
"consultar";1;16
"pobre";12;30
"falhar";4;16
"pai";20;65
"fabricar";3;13
"compreender";2;20
"criticar";7;81
"atender";8;74
"vazar";7;7
"histórico";5;37
"esfera";1;11
"fonte";34;52
"carlos";7;89
"imunidade";1;11
"empresa";62;534
"fuga";6;5
"liberado";5;12
"gomes";5;33
"polarização";0;13
"atômico";1;14
"bruto";3;10
"decisivo";0;14
"janot";35;181
"sobre";107;1050
"ronaldo";0;11
"vice";1;40
"paranaense";7;10
"agora";45;312
"fluminense";0;18
"repetir";7;33
"advogado";55;349
"planeta";6;9
"investigado";15;119
"general";17;39
"fila";2;16
"universidade";1;57
"11";21;73
"partida";0;11
"repent";0;11
"narrativa";1;9
"intelectual";2;15
"inadmissível";1;12
"ético";2;8
"dilma";109;409
"ética";6;64
"déficit";1;23
"sábado";2;61
"promotor";5;29
"embraer";0;10
"vila";1;10
"computador";2;13
"escondido";0;10
"cooperativa";1;18
"zé";8;19
"dialogar";1;11
"14";8;55
"fuzil";0;10
"fragilidade";0;12
"alma";9;4
"medicina";1;10
"decisão";33;527
"perspectiva";1;30
"zero";2;23
"abc";0;12
"18";12;67
"interceptação";1;11
"exportar";3;18
"incomodar";6;12
"variar";1;9
"comprovar";7;47
"mobilizar";2;19
"ampliar";0;26
"aragão";10;0
"impressão";0;18
"correspondente";0;13
"dificuldade";0;62
"condução";1;19
"devasso";0;12
"prever";22;117
"roubo";4;11
"mercadante";0;27
"inevitável";2;10
"disposto";2;26
"mascarenhas";1;10
"incluir";26;103
"expedir";2;9
"particular";10;21
"cassação";9;35
"guarda";4;12
"vladimir";4;23
"engevix";0;19
"ocorrência";1;17
"morto";8;78
"interromper";4;24
"mapa";0;21
"pp";11;20
"corrigir";0;24
"juízo";2;47
"desejo";2;20
"indireto";2;18
"implantar";4;7
"pleno";1;40
"patamar";3;7
"custear";2;9
"distribuir";5;26
"carreira";5;23
"sistema";31;195
"disponível";4;20
"útil";2;9
"discussão";3;64
"anexar";1;14
"doutor";2;21
"gonçalves";8;11
"entendimento";1;49
"celular";7;24
"25";16;60
"27";7;41
"piscina";0;11
"21";4;57
"23";5;55
"reuters";3;32
"pena";18;184
"pcc";0;12
"cofig";0;10
"afastar";3;48
"trajetória";4;17
"despesa";4;27
"respeito";13;84
"almoço";2;10
"completar";8;49
"envolvimento";2;37
"porte";3;13
"porta";5;26
"visitar";6;20
"intermediar";1;11
"29";3;25
"prefeito";19;97
"britânico";6;26
"analisar";12;107
"verdade";19;108
"tóquio";4;11
"secretaria";3;75
"vida";29;136
"sujeito";5;14
"piloto";3;34
"vitale";0;16
"atravessar";3;8
"comando";15;104
"torquato";2;16
"ônibus";5;24
"atraso";3;9
"cade";1;20
"jogo";6;47
"dono";32;205
"completamente";3;24
"retornar";9;27
"instalação";9;30
"merda";0;15
"importância";6;28
"para";833;5194
"silêncio";4;53
"atacar";40;67
"john";3;9
"conhecer";16;77
"estatal";23;87
"repassar";9;47
"fixar";1;12
"três";13;254
"sensível";0;11
"terça";0;47
"valdir";2;10
"terço";2;15
"pará";0;11
"essa";66;625
"esse";95;581
"permanecer";6;57
"orçamento";3;34
"kg";9;3
"km";15;49
"gabinete";4;63
"valer";23;93
"corrupto";39;18
"réu";13;140
"elaborar";3;17
"carne";31;130
"auditoria";0;10
"chinaglia";2;9
"sustentar";6;38
"ruim";7;30
"depender";4;63
"8";18;115
"processo";36;593
"previsão";3;25
"bilateral";0;17
"restaurante";3;9
"garcia";5;8
"altura";3;15
"individual";1;19
"fazenda";19;79
"fictício";2;9
"fruto";3;15
"pcdob";0;20
"convivência";0;11
"viabilizar";1;17
"iniciativa";2;57
"amizade";2;9
"eleição";17;245
"bombardear";12;15
"formalizar";1;10
"atrasado";4;6
"orçamentário";0;20
"contraditório";0;11
"andar";5;53
"rcifrão";112;616
"tolerância";0;15
"léo";9;40
"perto";7;46
"reformar";2;8
"ensinar";3;7
"gay";0;15
"coreia";118;593
"elogiar";7;28
"enxergar";0;13
"fux";4;21
"vário";35;153
"colaboração";2;58
"declarar";68;176
"extraordinário";1;16
"comitiva";1;10
"inimigo";10;28
"busca";5;96
"postar";9;18
"júlio";1;9
"damasco";2;11
"absolver";10;31
"resumir";13;22
"jbs";59;302
"verificar";4;38
"alternativo";0;23
"atentado";2;24
"popularidade";0;12
"alternativa";1;15
"cut";1;19
"arquivamento";0;24
"administrativo";2;50
"comportamento";6;31
"cuja";1;31
"habeas";6;45
"endereço";1;25
"jovair";0;10
"feriado";1;9
"preço";4;51
"júnior";3;12
"financiamento";2;69
"motor";0;13
"mostrar";39;162
"apoio";20;189
"energia";3;21
"divergência";0;11
"eliminar";7;14
"ajuste";1;18
"pec";15;35
"300";5;43
"percentual";0;14
"fechado";12;61
"impor";2;28
"consistir";1;9
"acompanhar";15;105
"transpetro";3;10
"shinzo";5;8
"aquilo";9;35
"elevar";3;9
"financeiro";15;99
"queijo";6;5
"pmdb_rj";2;38
"poder";320;1469
"observação";2;9
"exposição";1;10
"moraes";2;20
"dinheiro";76;456
"vaccarezza";0;15
"penitenciária";4;12
"articular";3;11
"favorecer";3;29
"apartamento";13;228
"amarelo";3;12
"aécio";80;366
"cadeia";23;52
"premiado";0;26
"assassinato";4;14
"significativo";1;18
"produtor";1;13
"ritmo";1;19
"papa";6;9
"jaburu";3;27
"representar";17;94
"potência";5;28
"centena";11;16
"2002";3;22
"2003";4;10
"2000";3;18
"2001";2;15
"relação";40;391
"2004";3;9
"2005";3;25
"2008";0;40
"manter";29;226
"mecanismo";0;16
"alumínio";0;11
"geração";2;13
"atualizar";2;10
"chapa";11;57
"brigada";0;11
"depoimento";48;344
"palácio";11;122
"amarillo";0;25
"totalmente";6;35
"assad";10;60
"votação";17;101
"operação";62;538
"nogueira";0;14
"eficiência";4;12
"obtido";1;12
"ciclo";1;11
"junior";2;11
"realizado";3;12
"sobrevoar";6;11
"escola";5;44
"apresentador";9;19
"bairro";2;34
"prevalecer";1;17
"década";5;53
"luiz";8;119
"cultural";0;10
"extremo";9;27
"luis";1;16
"38";3;19
"31";4;38
"37";0;11
"36";1;9
"35";6;27
"34";1;9
"bancário";5;38
"dedicar";1;22
"executar";7;27
"presidenta";2;12
"presidente";229;1638
"força";52;226
"nomeação";1;35
"soberano";0;11
"chamado";15;115
"perceber";9;33
"gabriel";2;8
"_";1;1084
"núcleo";0;17
"contexto";1;30
"caminho";14;71
"julgamento";14;222
"nossa";28;137
"conferir";24;28
"ideia";12;102
"violação";1;18
"afp";2;15
"sujo";5;9
"redução";7;31
"unido";45;359
"paulista";0;40
"grampo";8;10
"confiança";9;54
"litoral";0;24
"haiti";0;15
"tse";30;92
"eua";176;393
"resistência";0;18
"criminal";7;55
"mensal";6;13
"weber";3;9
"fiscalização";4;25
"dag";1;9
"vencer";6;31
"religião";1;10
"dar";86;557
"homenagear";2;14
"quê";3;28
"mandato";19;179
"atendimento";0;15
"petição";1;23
"interceptar";4;13
"sadi";0;14
"anuência";0;10
"vermelho";5;14
"edson";25;88
"jurídico";8;78
"orientar";5;27
"tornou_se";1;11
"rei";6;41
"meirelles";5;57
"mata";1;17
"praticar";11;63
"mato";3;33
"pré_candidatura";0;11
"que";2006;13504
"compra";4;114
"atenção";16;46
"codinome";1;13
"pautar";0;18
"marcelo";19;225
"mortal";6;4
"constrangimento";4;8
"ameaçar";26;46
"detectar";4;21
"omitir";0;10
"pgr";36;121
"transação";1;25
"cuiabá";0;12
"palestino";0;11
"rocha";18;99
"abandonado";1;13
"negro";3;31
"eleger";8;56
"fórum";2;50
"serraglio";3;32
"petrobras";30;184
"respeitar";6;36
"cabeça";15;31
"atitude";12;37
"fiscalizar";1;20
"incentivo";0;16
"mil";64;262
"min";12;0
"ultrapassar";9;10
"isto";2;29
"oliveira";7;55
"experiência";2;30
"pmdb_pr";1;19
"tributário";0;27
"herman";10;24
"seguro";3;25
"elevador";0;10
"dignidade";8;17
"conspiração";7;26
"intolerância";0;18
"balístico";25;91
"palanque";2;8
"lançamento";26;91
"dependência";2;8
"obviamente";5;14
"lobo";8;10
"contradição";1;16
"aproximadamente";4;15
"wesley";2;37
"responsabilidade";2;92
"grosso";6;33
"reconhecimento";1;17
"islâmico";7;28
"breve";4;18
"primeiro";38;528
"fator";2;28
"precedente";3;21
"bruno";3;30
"exato";7;19
"dallagnol";9;18
"utilizar";6;65
"manhã";18;93
"cansado";0;10
"rumo";6;24
"interesse";9;141
"romero";2;14
"climático";1;13
"norte_coreana";8;30
"comercializar";0;11
"norte_coreano";20;110
"ao";283;2218
"augusto";3;21
"república";45;432
"notificar";0;10
"multa";0;49
"haddad";0;25
"externo";1;41
"ar";6;9
"homem";44;106
"eficaz";1;11
"gsi";0;11
"percepção";0;13
"rodrigo";47;206
"abrigar";2;13
"conclusão";2;33
"transferir";7;31
"doleiro";11;33
"traçar";6;5
"clique";3;18
"sauna";0;10
"praia";0;12
"constituir";1;13
"sete";3;48
"falência";1;10
"ironizar";5;6
"paciência";3;14
"irritar";7;4
"wagner";4;19
"abar";5;15
"reunir";9;92
"vergonhoso";2;9
"resistir";0;18
"paralelo";2;14
"senhor";11;136
"teste";25;168
"anistia";0;15
"competência";1;22
"américa";14;36
"chico";7;12
"demais";6;80
"dezena";8;23
"assinar";9;103
"marun";0;25
"demonstração";1;18
"combustível";2;18
"consumir";4;10
"somar";5;30
"escala";2;14
"eliseu";0;26
"simples";10;48
"harvard";2;9
"também";170;1120
"desenvolvimento";7;91
"monitoramento";0;11
"álvaro";2;14
"impopular";4;9
"1980";0;11
"encontro";19;146
"joaquim";1;14
"legenda";2;37
"quanto";14;146
"líquido";1;13
"aberto";4;78
"troca";8;88
"claramente";7;14
"brincar";3;10
"inaceitável";5;16
"oito";1;41
"espalhar";4;16
"sequer";7;35
"vazamento";3;33
"seis";5;102
"duro";3;50
"constranger";0;13
"paraguai";2;9
"povo";42;103
"invadir";15;16
"45";6;15
"hélio";6;6
"oas";14;159
"milionário";3;13
"investigar";23;175
"nelson";2;19
"membro";7;89
"pilar";2;9
"ausência";2;30
"porra";0;10
"secretário";9;91
"magistrado";11;75
"tratar";16;163
"isenção";0;13
"geraldo";3;22
"paris";0;17
"riso";0;13
"casamento";0;10
"quantia";1;15
"casal";5;36
"possuir";26;35
"detalhe";14;49
"decidir";35;151
"encarar";1;9
"interessar";1;21
"publicação";8;26
"george";2;12
"acordo";102;572
"enfrentar";8;74
"obedecer";1;11
"desculpa";4;17
"organismo";0;11
"garantido";1;13
"8a";2;16
"preparar";13;52
"março";5;104
"tv";16;76
"supremo";19;146
"proprietário";3;22
"viajar";7;33
"privatização";0;13
"lamentar";4;30
"relacionado";1;32
"justificativo";2;14
"gravar";6;65
"hospital";9;40
"pib";3;24
"amaggi";2;8
"aplicar";0;34
"redor";3;10
"saber";74;392
"desempenho";3;18
"intimidade";0;11
"pouco";40;217
"me";42;219
"mg";7;9
"baseado";3;28
"mp";6;57
"política";50;386
"político";97;529
"unilateral";1;9
"referência";4;78
"horizonte";2;18
"empreiteiro";22;136
"repasse";6;40
"historiador";4;12
"definição";1;10
"emergente";0;17
"especializado";5;9
"mesa";1;44
"grécia";0;14
"quantidade";3;17
"preventivo";12;56
"contido";4;9
"enviar";38;137
"patmos";4;6
"antigo";5;61
"alemão";4;23
"flagrante";3;16
"prestação";2;24
"400";4;13
"dem";0;36
"dirigente";2;39
"dermeval";0;16
"desrespeitar";6;6
"recessão";1;16
"vitória";3;23
"superintendente";1;11
"espanha";0;12
"tendência";1;21
"seara";1;9
"mantega";15;44
"jon_un";36;0
"conquistar";1;11
"ajufe";0;13
"nunca";20;192
"matar";12;35
"frei";2;10
"goulart";0;12
"fichar";0;30
"fred";4;7
"acontecer";47;230
"pence";5;11
"industrial";1;11
"combate";19;66
"movimento";11;143
"depois";42;400
"quinto";0;85
"tom";6;32
"corpus";6;43
"estrada";2;25
"concorrer";2;19
"lançar";27;104
"analista";6;34
"após";71;468
"leste";2;19
"bilionário";6;10
"zeze";2;17
"recado";13;19
"protocolar";8;33
"crescer";4;54
"disparar";16;20
"uscifrão";8;101
"ignorar";8;18
"tratado";1;63
"avançado";2;25
"anteriormente";3;14
"penitenciário";3;8
"excelência";3;9
"zezé";2;12
"levy";0;11
"patrimônio";12;22
"caber";5;79
"solaris";3;15
"presidencial";12;79
"escutar";1;9
"progresso";0;14
"relator";36;234
"ouro";1;24
"desespero";5;5
"escritor";3;10
"polêmica";0;12
"inácio";5;9
"temporariamente";2;12
"manifestação";10;87
"privilégio";1;13
"acreditar";22;147
"lavrov";0;13
"força_tarefa";10;47
"fundação";3;22
"desvio";2;34
"alguma";40;170
"renda";2;37
"frequentar";1;13
"imprudente";8;11
"classificar";6;28
"favorável";1;45
"news";16;7
"bretas";2;15
"terreno";4;47
"irregular";3;15
"justificar";6;53
"resposta";13;101
"ofício";0;19
"conduta";3;40
"esperança";6;27
"jantar";5;29
"submarino";10;28
"econorte";0;12
"republicano";2;37
"secretária";3;8
"33";4;14
"firmeza";0;11
"mentir";4;18
"tesouro";1;16
"perito";5;14
"exterior";22;109
"eleitor";5;38
"art";1;16
"afetar";6;28
"portal";11;7
"aderir";1;12
"dado";13;69
"veemência";0;11
"magistratura";3;10
"jean";3;10
"especialmente";3;42
"lutar";13;28
"gestão";8;88
"acusação";21;174
"servidor";7;60
"eventualmente";0;16
"expor";8;40
"ela";51;472
"ele";307;2079
"mencionado";0;11
"alckmin";6;55
"dimas";0;14
"aprender";7;19
"59";3;12
"horário";3;21
"55";5;7
"espaço";4;50
"52";2;11
"terceiro";12;60
"catarina";1;11
"clube";5;10
"gostar";14;47
"50";8;63
"privilegiado";24;92
"rio";11;289
"cnn";4;6
"globalização";0;21
"mão";22;87
"privativo";1;11
"mãe";8;43
"centro";3;114
"excluir";1;18
"município";5;37
"ainda";99;754
"explicar";12;135
"algo";28;85
"preocupado";11;39
"esperar";25;161
"agressão";10;21
"civil";14;147
"refinaria";5;20
"imigrante";0;20
"proveniente";1;10
"né";0;23
"ajuda";18;57
"asiático";4;35
"lança";2;13
"indicado";3;36
"remover";4;9
"oeste";0;13
"deflagração";2;9
"devido";6;68
"vivo";15;30
"conteúdo";1;45
"penal";9;126
"mesada";3;7
"regime";19;172
"junto";12;108
"peemedebista";7;58
"imóvel";4;147
"depor";4;18
"movimentação";2;22
"posicionar";6;25
"aplauso";0;19
"apelação";1;18
"levantar";6;34
"joesley";80;439
"montante";3;14
"cedo";5;23
"diretório";3;18
"curitiba";28;90
"quase";18;110
"dez";5;56
"cenário";4;46
"posto";7;34
"bahia";0;20
"substituto";3;19
"queda";1;45
"chorar";8;7
"melhor";20;161
"exame";3;21
"culpa";3;19
"praça";1;39
"goiás";0;17
"vallisney";0;10
"semana";49;263
"tillerson";3;39
"remeter";0;15
"braço";6;15
"já";140;761
