"";"X.gr_01";"X.gr_02"
"40";-0,3494;0,3494
"lauren";-0,4659;0,4659
"testemunha";2,0878;-2,0878
"vida";1,2266;-1,2266
"aeronave";-0,3259;0,3259
"fechar";-0,1758;0,1758
"amplo";-0,5125;0,5125
"investigar";-0,3867;0,3867
"morrer";3,0357;-3,0357
"motivo";0,4082;-0,4082
"preconceito";-0,6523;0,6523
"torcido";-0,6523;0,6523
"usar";1,3732;-1,3732
"ação";-2,5631;2,5631
"mudo";-0,6057;0,6057
"artista";0,3375;-0,3375
"pistola";-0,2397;0,2397
"questionar";-0,3867;0,3867
"parede";0,5677;-0,5677
"norte";0,7343;-0,7343
"helicóptero";-0,8387;0,8387
"começo";-0,8387;0,8387
"sempre";-1,0188;1,0188
"etapa";-0,7455;0,7455
"apesar";-0,2795;0,2795
"agir";-0,1611;0,1611
"ingrediente";-0,4659;0,4659
"benefício";1,8653;-1,8653
"faixa";-0,5147;0,5147
"percorrer";-0,5591;0,5591
"presente";0,7989;-0,7989
"frango";1,7069;-1,7069
"exigir";-0,3259;0,3259
"reforma";-0,7902;0,7902
"utilização";-0,6989;0,6989
"segurança";0,471;-0,471
"sírio";-0,2359;0,2359
"cadeia";-0,5125;0,5125
"prioridade";-0,6523;0,6523
"andré";-0,6057;0,6057
"tipo";1,4366;-1,4366
"ferido";-0,5591;0,5591
"sobre";-0,5582;0,5582
"água";-0,7269;0,7269
"100";-1,5377;1,5377
"acesso";-0,5479;0,5479
"cidade";1,1073;-1,1073
"estrutura";-0,2677;0,2677
"morar";-0,549;0,549
"moral";-0,7455;0,7455
"marido";-0,356;0,356
"arma";-0,8047;0,8047
"pacto";-0,6523;0,6523
"melhorar";-0,418;0,418
"rio";-1,2341;1,2341
"desfilar";-0,4659;0,4659
"união";-0,1611;0,1611
"abaixo";2,7039;-2,7039
"nós";-1,5849;1,5849
"titular";-0,5591;0,5591
"psicológico";-0,2126;0,2126
"alegre";-0,8621;0,8621
"madrugada";2,4447;-2,4447
"gente";-2,9184;2,9184
"delegacia";0,3163;-0,3163
"comunidade";-0,4242;0,4242
"mensagem";0,6086;-0,6086
"escapar";-0,137;0,137
"foto";0,5205;-0,5205
"três";-1,1495;1,1495
"entrar";-0,3578;0,3578
"assalto";-0,4659;0,4659
"grade";-0,137;0,137
"formação";-0,1864;0,1864
"bonito";-0,356;0,356
"2";0,3296;-0,3296
"gerar";-0,356;0,356
"segundo";-2,7036;2,7036
"abril";0,5677;-0,5677
"redação";-0,6523;0,6523
"abrir";0,9846;-0,9846
"geral";-0,3738;0,3738
"mina";0,4122;-0,4122
"gabriela";-1,0717;1,0717
"regular";0,4573;-0,4573
"alimento";2,4435;-2,4435
"dor";-0,3867;0,3867
"leitura";-0,418;0,418
"delegado";-0,3738;0,3738
"anunciar";-0,3259;0,3259
"sozinho";2,1983;-2,1983
"principalmente";1,4447;-1,4447
"suspeito";-0,356;0,356
"suspeita";0,4122;-0,4122
"sair";-0,4329;0,4329
"futuro";0,3237;-0,3237
"falar";0,3744;-0,3744
"apresentação";-0,2397;0,2397
"concluir";0,2775;-0,2775
"setembro";-0,5125;0,5125
"durante";13,7893;-13,7893
"proteína";1,8673;-1,8673
"usado";-0,291;0,291
"pista";-0,8621;0,8621
"funcionário";3,0347;-3,0347
"encontrar";0,3051;-0,3051
"servir";1,8872;-1,8872
"ir";1,2357;-1,2357
"alimentar";3,6952;-3,6952
"residência";-0,137;0,137
"livre";-0,9319;0,9319
"estadual";-1,3513;1,3513
"triste";0,5677;-0,5677
"aparecer";2,2607;-2,2607
"produzir";-0,6844;0,6844
"programa";-0,5028;0,5028
"personagem";-1,1649;1,1649
"conflito";-0,7921;0,7921
"borges";0,5677;-0,5677
"jornalismo";-1,2581;1,2581
"esporte";-0,4497;0,4497
"assim";-0,7699;0,7699
"negar";0,5087;-0,5087
"apontar";-0,7617;0,7617
"carta";3,7918;-3,7918
"bola";-0,5591;0,5591
"aumento";-0,4659;0,4659
"trabalho";0,2837;-0,2837
"tecnologia";-0,7546;0,7546
"erro";-0,5591;0,5591
"baixo";-1,1649;1,1649
"metropolitano";-0,4659;0,4659
"condição";-0,549;0,549
"tarde";0,2575;-0,2575
"atividade";0,2999;-0,2999
"produto";1,5651;-1,5651
"digital";-0,4659;0,4659
"alerta";1,332;-1,332
"publicar";10,8158;-10,8158
"russo";0,4082;-0,4082
"captação";-0,5125;0,5125
"menor";2,0878;-2,0878
"menos";0,3349;-0,3349
"0";-0,3259;0,3259
"sustentável";-0,5125;0,5125
"mg";-0,6989;0,6989
"dia";0,6777;-0,6777
"cozinha";-0,4659;0,4659
"agosto";-0,7455;0,7455
"viagem";-1,4445;1,4445
"alto";2,8498;-2,8498
"instituto";1,4258;-1,4258
"bom";-0,8849;0,8849
"bob";3,2267;-3,2267
"realmente";-0,6057;0,6057
"enorme";0,3724;-0,3724
"ontem";2,7929;-2,7929
"cérebro";0,4573;-0,4573
"mau";-0,5125;0,5125
