"";"banalfreq";"X.gr_01";"X.gr_02"
"certo";43;-0,4548;0,4548
"passo";17;0,2775;-0,2775
"quem";116;-0,3191;0,3191
"eletrônico";11;-0,1611;0,1611
"lacovara";11;-0,5125;0,5125
"chão";16;0,3057;-0,3057
"cultura";31;-0,2138;0,2138
"parecer";39;-0,3669;0,3669
"morador";28;-0,3494;0,3494
"século";13;0,4122;-0,4122
"cotidiano";10;-0,4659;0,4659
"pessoal";22;1,7062;-1,7062
"chegar";134;0,6942;-0,6942
"regra";19;0,2295;-0,2295
"cantar";15;-0,2677;0,2677
"reduzir";22;-0,2152;0,2152
"acolher";11;-0,5125;0,5125
"vilarejo";11;-0,5125;0,5125
"conter";16;1,1428;-1,1428
"prevenção";15;-0,6989;0,6989
"construção";19;0,5174;-0,5174
"000";10;1,8673;-1,8673
"escolha";10;-0,4659;0,4659
"trabalhador";14;0,3724;-0,3724
"localizar";25;1,4447;-1,4447
"apresentar";53;0,3411;-0,3411
"ocorrer";61;0,5555;-0,5555
"marco";14;-0,6523;0,6523
"marca";33;-1,5377;1,5377
"popular";18;-0,8387;0,8387
"mercadoria";12;-0,1864;0,1864
"parado";10;1,1356;-1,1356
"economia";14;-0,2397;0,2397
"permitir";44;-0,2742;0,2742
"autoridade";23;0,3776;-0,3776
"gratuito";11;-0,5125;0,5125
"rua";61;-0,3945;0,3945
"tocar";17;0,2775;-0,2775
"língua";16;0,3057;-0,3057
"bloco";37;-1,7241;1,7241
"70";12;-0,1864;0,1864
"funcionamento";11;-0,5125;0,5125
"legítimo";10;-0,4659;0,4659
"sinal";12;-0,5591;0,5591
"preocupação";18;-0,8387;0,8387
"governo";65;-0,4677;0,4677
"tamanho";12;-0,1864;0,1864
"circuito";13;1,4426;-1,4426
"proteger";15;-0,2677;0,2677
"adulto";10;-0,137;0,137
"lembrar";33;-0,249;0,249
"manhattan";12;-0,5591;0,5591
"contratar";14;0,7844;-0,7844
"william";10;0,5677;-0,5677
"pretender";15;-0,6989;0,6989
"visita";12;0,4573;-0,4573
"perna";10;0,5677;-0,5677
"e";3399;1,5147;-1,5147
"facebook";10;1,8673;-1,8673
"organização";18;-0,356;0,356
"atacar";16;0,3057;-0,3057
"acidente";23;-0,2359;0,2359
"envolvido";16;-0,2964;0,2964
"relacionamento";10;-0,137;0,137
"claro";30;-0,7546;0,7546
"violento";19;-0,3867;0,3867
"coleta";15;-0,6989;0,6989
"blockchain";37;-1,7241;1,7241
"espírito";15;1,2326;-1,2326
"trocar";15;-0,6989;0,6989
"ferida";13;0,4122;-0,4122
"gosto";19;0,2295;-0,2295
"sessão";15;-0,6989;0,6989
"alguém";23;1,1106;-1,1106
"senhor";26;0,9278;-0,9278
"modo";20;-0,1758;0,1758
"causa";36;0,5205;-0,5205
"jogar";39;0,2438;-0,2438
"junho";13;-0,2126;0,2126
"maílson";18;-0,8387;0,8387
"final";36;-0,5582;0,5582
"mariana";14;-0,6523;0,6523
"quando";240;0,4953;-0,4953
"bem";128;-1,692;1,692
"mês";86;1,5798;-1,5798
"sp";17;0,2775;-0,2775
"cima";11;0,5087;-0,5087
"tornar";41;-1,1589;1,1589
"infância";11;-0,1611;0,1611
"atuar";24;-0,5479;0,5479
"tiro";19;0,9189;-0,9189
"atual";28;-1,3047;1,3047
"namorado";10;1,1356;-1,1356
"grau";12;-0,1864;0,1864
