"";"*gr_01";"*gr_02"
"formato";0;13
"impedir";1;14
"geralmente";1;9
"livro_razão";0;10
"moto";5;19
"voz";1;9
"campanha";1;15
"próprio";11;86
"doar";4;7
"vargas";4;13
"euro";2;16
"conversar";3;22
"passageiro";7;6
"ajudar";4;45
"tomar";7;40
"tragédia";1;15
"demanda";0;12
"d";2;8
"alexandra";0;16
"alexandre";1;15
"memória";0;10
"aquele";4;48
"aquela";0;36
"transtorno";0;11
"emocionar";4;6
"idade";6;18
"jornal";16;53
"jeito";0;13
"anterior";0;13
"dois";15;165
"integrar";0;11
"terrorista";0;29
"estabelecer";0;10
"escolher";2;13
"ator";19;18
"região";0;69
"up";0;14
"um";174;1298
"salário";1;20
"estilo";3;15
"diverso";10;40
"imprensa";4;17
"pagamento";0;15
"elemento";0;17
"ataque";2;41
"extremamente";0;13
"filósofo";4;8
"roubar";3;18
"leonardo";0;15
"difícil";6;38
"camada";0;12
"lei";4;37
"ler";12;39
"atrair";0;14
"oficial";5;23
"agência";1;21
"causar";6;18
"londres";5;20
"menina";6;37
"menino";3;16
"período";2;19
"cliente";3;25
"roda";2;8
"quilômetro";0;17
"estudar";2;26
"associação";1;9
"animal";2;8
"capacidade";1;23
"pergunta";0;10
"especial";1;27
"isso";20;269
"classe";1;12
"contato";1;18
"méxico";0;11
"volta";2;28
"econômico";2;23
"2018";0;12
"2015";6;38
"2014";2;11
"2016";5;39
"empatia";0;14
"2010";2;9
"2013";4;13
"2012";4;21
"nada";12;50
"gritar";2;11
"veículo";5;35
"bar";1;12
"importante";1;65
"comprar";1;22
"contrário";2;16
"caminhão";4;16
"além";9;107
"hídrico";0;24
"tempo";10;107
"cuidado";4;10
"david";0;11
"festival";0;15
"guerra";1;26
"haver";30;290
"modalidade";0;13
"criminoso";1;24
"roberto";3;20
"legislação";0;10
"exército";3;16
"documento";2;16
"serviço";6;40
"trás";4;10
"marcar";1;20
"principal";4;42
"terminar";1;20
"tudo";20;121
"familiar";0;37
"autor";1;35
"perdido";0;11
"parque";0;22
"posse";0;10
"confirmar";8;18
"vídeo";17;35
"etc";5;7
"mínimo";0;29
"equipa";1;44
"2017";6;45
"site";9;15
"romance";0;12
"manancial";0;14
"momento";12;96
"rcifrão";2;85
"nacional";3;62
"através";13;22
"usuário";0;18
"crise";0;23
"análise";0;19
"sábado";1;14
"frança";0;21
"pernambuco";2;14
"edição";2;8
"banco";0;29
"dezembro";1;16
"lidar";0;28
"decreto";2;10
"fiscal";5;12
"abastecimento";0;10
"alegar";8;22
"transporte";1;11
"sambar";0;12
"colega";5;11
"tão";4;34
"coisa";15;104
"quarto";3;39
"rural";1;17
"aeroporto";5;9
"retirar";3;17
"afirmar";12;90
"quadrado";0;20
