"";"X.gr_01";"X.gr_02"
"só";1,16;1,25
"tirar";0,58;0,39
"trazer";0;0,42
"bastante";0,1;0,16
"colocar";0,68;0,42
"litro";0;0,17
"aproveitar";0;0,12
"justiça";0,48;0,6
"padrão";0,1;0,21
"natural";0,29;0,2
"controlar";0,39;0,09
"área";0,48;0,74
"acionar";0,29;0,09
"si";0,19;0,24
"se";9,26;7,7
"museu";0,1;0,14
"entrada";0;0,15
"crédito";0;0,13
"determinar";0,19;0,13
"organizar";0,1;0,3
"trauma";0;0,22
"internet";0,77;0,32
"porcento";0,39;0,9
"brasil";2,22;2,2
"ong";0;0,13
"preparação";0,19;0,1
"doação";0,1;0,11
"nota";0,48;0,25
"29";0,19;0,11
"sala";0,39;0,2
"olho";0,1;0,19
"estação";0;0,24
"3";1,06;0,52
"disputa";0;0,17
"descer";0;0,11
"constelação";0;0,17
"época";0,29;0,39
"vender";0,39;0,3
"s";0,29;0,15
"como";3,57;5,98
"alcançar";0,1;0,1
"droga";0,29;0,31
"entregar";0,1;0,16
"isabella";0,58;0,24
"título";0,1;0,11
"orientação";0,19;0,11
"fim";0,19;0,49
"fama";0;0,11
"ouvido";0,19;0,12
"otto";0,68;0,13
"putin";0,1;0,11
"oportunidade";0,19;0,16
"costa";0,19;0,2
"processamento";0;0,12
"comer";1,16;0,19
"processo";0,58;0,58
"ocupação";0;0,24
"categoria";0;0,13
"postar";0,68;0,03
"solução";0;0,23
"cujo";0,1;0,11
"líder";0;0,12
"definir";0;0,16
"hoje";0,87;1,04
"ouro";0;0,13
"mensal";0;0,12
"aí";0;0,56
"diretor";0,29;0,44
"dormir";0,1;0,1
"completo";0,29;0,13
"rússia";0,39;0,21
"emissor";0,68;0,1
"esforço";0,1;0,11
"estúdio";0,1;0,16
"mundo";1,54;1,09
"ar";0,48;0,1
"getúlio";0,29;0,25
"relação";0,19;0,68
"pedir";1,45;0,37
"pesquisa";0,29;0,25
"apartamento";0,77;0,11
"oito";0,1;0,24
"original";0,1;0,11
"rapaz";0,39;0,07
"tv";0,68;0,31
"aplicar";0,39;0,13
"jatobá";0,19;0,1
"coração";0,19;0,12
"reconhecer";0;0,14
"hash";0;0,11
"agressividade";0,1;0,12
"social";2,22;0,83
"via";0,1;0,17
"vir";0,77;0,93
"horário";0,19;0,13
"reunião";0,1;0,11
"silva";0,1;0,26
"obrigar";0,1;0,16
"diferente";0,29;0,73
"6";0,1;0,21
"visão";0;0,11
"ponte";0,19;0,12
"ponto";0;0,73
"impacto";0;0,19
"facção";0;0,11
"não";11,77;11,31
"plano";0,1;0,27
"fundamental";0,1;0,26
"francês";0;0,28
"papel";0,29;0,25
"passagem";0;0,13
"buscar";0;0,2
"parceria";0;0,2
"subir";0,1;0,14
"fossar";0,1;0,31
"nossa";0,1;0,48
"nosso";1,06;0,63
"armamento";0;0,12
"influenciar";0,19;0,13
"aprovar";0;0,15
"divulgar";0,77;0,23
"avenida";0;0,34
"nome";0,1;0,43
"contra";1,45;0,75
"talvez";0,1;0,28
"indústria";0,19;0,09
"birri";0;0,27
"revelar";0,68;0,24
"tentar";1,16;0,8
"sentar";0,1;0,21
"defender";0,19;0,26
"autista";0;0,17
"assumir";0,1;0,14
"córrego";0;0,26
"seu";3,86;2,92
"ser";25,48;26,9
"supermercado";0,1;0,14
"sem";1,16;1,32
"ninguém";0,48;0,26
"pagar";0,1;0,39
"europa";0,29;0,08
"agente";0,19;0,28
"belo";0;0,25
"interessante";0;0,12
"imaginar";0;0,19
"dizer";6,56;3,86
"conjunto";0;0,14
"guardar";0,1;0,1
"formato";0;0,14
"impedir";0,1;0,15
"geralmente";0,1;0,1
"livro_razão";0;0,11
"moto";0,48;0,21
"voz";0,1;0,1
"campanha";0,1;0,16
"próprio";1,06;0,94
"doar";0,39;0,08
"vargas";0,39;0,14
"euro";0,19;0,17
"conversar";0,29;0,24
"passageiro";0,68;0,07
"ajudar";0,39;0,49
"tomar";0,68;0,44
"tragédia";0,1;0,16
"demanda";0;0,13
"d";0,19;0,09
"alexandra";0;0,17
"alexandre";0,1;0,16
"memória";0;0,11
"aquele";0,39;0,52
"aquela";0;0,39
"transtorno";0;0,12
"emocionar";0,39;0,07
"idade";0,58;0,2
"jornal";1,54;0,58
"jeito";0;0,14
"anterior";0;0,14
"dois";1,45;1,8
"integrar";0;0,12
"terrorista";0;0,32
"estabelecer";0;0,11
"escolher";0,19;0,14
"ator";1,83;0,2
"região";0;0,75
"up";0;0,15
"um";16,79;14,18
"salário";0,1;0,22
"estilo";0,29;0,16
"diverso";0,96;0,44
"imprensa";0,39;0,19
"pagamento";0;0,16
"elemento";0;0,19
"ataque";0,19;0,45
"extremamente";0;0,14
"filósofo";0,39;0,09
"roubar";0,29;0,2
"leonardo";0;0,16
