"";"X.gr_01";"X.gr_02"
"saudável";0,77;0,02
"ao";3,47;4,51
"produtividade";0;0,12
"homem";2,12;0,58
"psicopata";0;0,31
"novela";0;0,23
"sete";0,19;0,2
"resultado";0,19;0,25
"antonio";0;0,27
"executivo";0;0,13
"noivo";0;0,19
"reunir";0;0,19
"teste";0,1;0,12
"resolver";0,68;0,16
"américa";0,29;0,15
"paraíso";0;0,12
"consumir";0,29;0,08
"também";4,05;3,09
"desenvolvimento";0;0,16
"encontro";0,1;0,25
"comida";0,96;0,11
"quanto";0,77;0,5
"aberto";0,29;0,26
"troca";0,1;0,12
"espalhar";0,1;0,12
"seis";0;0,26
"povo";0,29;0,09
"costumar";0,1;0,14
"membro";0,29;0,09
"tratar";1,06;0,31
"paris";0;0,11
"casamento";0;0,11
"casal";0,68;0,37
"possuir";0,58;0,16
"decidir";0,77;0,3
"street";0;0,19
"acordo";1,35;0,59
"enfrentar";0;0,23
"preparar";0,29;0,19
"março";0,19;0,25
"lamentar";0,1;0,14
"outro";2,61;3,55
"gravar";0,29;0,1
"hospital";1,45;0,19
"saber";2,51;1,32
"musa";0;0,16
"pouco";0,77;0,71
"me";1,35;1,34
"te";0,39;0,14
"política";0;0,49
"político";0,39;0,38
"atração";0;0,12
"ambos";0,19;0,11
"especializado";0,1;0,1
"quantidade";0,19;0,2
"enviar";0,29;0,16
"london";0,1;0,12
"origem";0;0,2
"histórico";0;0,19
"fonte";0,48;0,15
"tendência";0;0,12
"nunca";0,96;0,78
"matar";1,06;0,4
"bairro";0;0,45
"acontecer";1,35;1,05
"acima";0,48;0,21
"poço";0;0,13
"movimento";0;0,42
"bitcoin";0;0,33
"estrada";0,19;0,24
"lançar";0,1;0,2
"burger";0;0,11
"após";2,12;1,01
"leste";0;0,16
"crescer";0,39;0,25
"bridge";0,1;0,13
"uscifrão";0,29;0,31
"tributário";0;0,19
"the";0,19;0,22
"companhia";0,48;0,21
"escritor";0;0,13
"bandido";0;0,13
"manifestação";0;0,13
"acreditar";0,68;0,44
"tratamento";0,58;0,36
"alguma";1,06;0,64
"renda";0;0,11
"fóssil";0;0,14
"pressão";0,19;0,16
"resposta";0,19;0,13
"conceito";0,1;0,13
"esperança";0,19;0,1
"fallon";0;0,11
"proprietário";0;0,15
"referência";0;0,23
"antigo";0,29;0,28
"afetar";0,39;0,08
"dado";0,1;0,37
"lutar";0,1;0,11
"necessidade";0,19;0,21
"gestão";0;0,14
"acusação";0,58;0,05
"expor";0;0,12
"ela";2,8;3,22
"ele";8,88;5,98
"cultural";0;0,2
"aprender";0;0,3
"espaço";0;0,55
"baleia";0,39;0,08
"51";0,19;0,09
"50";0,1;0,3
"amor";0,19;0,1
"clube";0,1;0,17
"gostar";0,29;0,32
"mão";0,19;0,4
"mãe";0,96;0,64
"município";0;0,32
"explicar";0,39;0,52
"algo";0,96;0,67
"esperar";0,39;0,32
"agressão";0,19;0,15
"né";0,19;0,1
"ajuda";0,19;0,26
"lago";0;0,2
"turista";0;0,14
"devido";0,48;0,15
"plataforma";0;0,13
"vivo";0,1;0,3
"conteúdo";0;0,19
"mediação";0;0,2
"aluno";0,19;0,2
"junto";0,19;0,31
"tio";0,1;0,11
"imóvel";0,29;0,25
"autismo";0;0,12
"direção";0,19;0,13
"quase";0,87;0,51
"guarda";0,19;0,12
"cenário";0;0,16
"posto";0;0,16
"bahia";0;0,11
"chorar";0,1;0,11
"melhor";0,29;0,79
"exame";0,58;0,05
"leh";0;0,11
"semana";1,16;0,36
"braço";0,29;0,1
"pensar";0,39;0,48
"audiência";0;0,15
"seguinte";0,58;0,27
"tribunal";0,1;0,13
"produção";0,1;0,28
"figura";0,29;0,17
"construir";0,19;0,27
"conduzir";0;0,11
"1";0,48;0,81
"mediador";0;0,15
"câncer";1,74;0,28
"determinado";0;0,25
"suicídio";0,87;0,17
"estudo";0,58;0,22
"voltar";0,68;0,94
"civil";0,39;0,54
"passar";2,32;1,42
"maior";1,45;0,8
"vizinho";0,68;0,2
"ameaça";0,1;0,14
"avaliar";0;0,15
"copa";0;0,26
"contribuir";0,19;0,1
"enigma";0,1;0,12
"r";0;0,13
"ana";0;0,19
"pro";0,68;0,3
"ano";5,5;5,02
"ideal";0;0,17
"grátis";0;0,11
"frio";0,29;0,09
"prestar";0,1;0,14
"tráfico";0;0,12
"mercado";0,19;0,43
"qualquer";0,48;0,56
"briga";0;0,15
"ouvir";0,29;0,46
"crime";0,48;0,8
"administração";0,1;0,1
"romário";0;0,11
"educação";0,29;0,15
"médico";2,41;0,32
"índice";0,1;0,11
"federal";0,48;0,49
"descobrir";0,29;0,3
"prêmio";0;0,19
"por";13,7;14,03
"correto";0;0,19
"60";0,39;0,19
"acabar";0,48;0,82
"verdadeiro";0,1;0,15
"casa";1,64;1,64
"caso";2,03;1,31
"prisão";0,29;0,31
"mil";0,96;1,02
"fácil";0,39;0,17
"evento";0;0,33
"consumidor";0,19;0,1
"regime";0,1;0,16
"luta";0,19;0,14
"bilhão";0,1;0,11
"samba";0;1,14
"loja";0,29;0,22
"cadeira";0,77;0,05
"tanto";0,29;0,47
"abrigo";0,1;0,15
"mineiro";0;0,21
"legal";0,1;0,22
"comunicado";0,29;0,16
"_";0;5,04
"compartilhar";0,29;0,12
"instrumento";0;0,15
"último";0,96;0,81
"cena";0,1;0,12
"cinema";0;0,51
"feliz";0,29;0,14
"defesa";0;0,22
"5";0,68;0,68
"aplicativo";0;0,14
"pinheiro";0;0,12
"participante";0,1;0,13
"grupo";1,16;1,05
"assassino";0,48;0,1
"ali";0;0,43
"velho";0,39;0,27
"maioria";0,48;0,36
"sociedade";0,1;0,26
"existir";0,87;0,85
"encaminhar";0,19;0,23
"outorga";0;0,12
"reino";0,19;0,15
"ter";9,46;10,63
"sua";4,54;3,3
"sul";0,68;0,61
"agredir";0,19;0,12
"contexto";0;0,13
"livros_razões";0;0,11
"avaliação";0;0,12
"diário";0,19;0,17
"texto";0,39;0,16
"programação";0;0,16
"provocar";0,1;0,22
"começar";1,25;1,11
"concessionário";0,1;0,23
"salvador";0,1;0,11
"levar";0,58;1,06
"negócio";0,1;0,11
"iniciar";0,1;0,15
"renata";0;0,24
"azul";0,29;0,08
"relatar";1,35;0,26
"festa";0,29;0,17
"dentro";0,68;0,67
"grande";1,45;1,66
"santo";0,87;0,68
"argentino";0;0,11
"ficar";3,28;2
"warmbier";0,39;0,1
"pedido";0,1;0,28
"cercar";0,96;0,58
"fotógrafo";0;0,11
"envolver";0,19;0,27
"obra";0,19;0,35
"projeto";0;1,06
"relato";0,77;0,19
"natureza";0,39;0,07
"king";0;0,12
"dano";0,1;0,17
"assistir";0,58;0,19
"direito";0,19;0,59
"situação";0,39;0,57
"amar";0;0,21
"curso";0,1;0,26
"atualmente";0;0,2
"superar";0;0,14
"história";0,48;1,17
"perícia";0;0,11
"porque";1,16;1,48
"vítima";0,77;0,95
"curto";0;0,16
"demonstrar";0,29;0,12
"falha";0,19;0,19
"solo";0;0,14
"cortar";0,1;0,12
"considerar";0,1;0,43
"operar";0,1;0,17
"óleo";0;0,22
"inglês";0,1;0,1
"criar";0,29;0,69
"pm";0,58;0,25
"auxiliar";0,1;0,11
"cinco";0,48;0,42
"rir";0,19;0,09
"9";0,19;0,22
"atrás";0;0,32
"pé";0,29;0,13
"literatura";0;0,19
"incrível";0,1;0,14
"fato";0,77;0,43
"apenas";1,54;0,79
"propor";0,1;0,11
"competitivo";0;0,13
"leitor";0;0,19
"técnica";0,19;0,38
"técnico";0,1;0,34
"estratégia";0;0,12
"lincoln";0,19;0,17
"lá";0,68;0,67
"rádio";0;0,14
"medo";0,1;0,3
"comandar";0,19;0,1
"câmera";0,39;0,1
"fantasia";0;0,13
"voo";0,48;0,32
"baiano";0;0,12
"canal";0,1;0,16
"fase";0;0,17
"infelizmente";0,39;0,1
"impossível";0,1;0,1
"massa";0,1;0,12
"imposto";0,29;0,08
"tentativa";0;0,23
"conselho";0;0,23
"independente";0,1;0,12
"problema";1,45;0,73
"nenhum";0,48;0,45
"desenvolver";0,1;0,22
"palavra";0,19;0,22
"garantir";0,19;0,27
"incidente";0,1;0,12
"metrô";0,1;0,14
"informação";0,87;0,46
"capital";0,58;0,51
"recuperar";0,1;0,15
"público";0,39;1,25
"iniciativa";0;0,21
"metro";0,19;0,32
"substituir";0;0,14
"rede";2,22;1,11
"comentar";0;0,16
"uso";0,1;0,73
"violência";0,1;0,85
"especialista";0,1;0,23
"noite";0,58;0,46
"dedicar";0,1;0,16
"estudante";0,39;0,24
"tal";0,68;0,2
"importar";0,29;0,09
"semelhante";0,1;0,11
"sim";0,77;0,48
"ainda";2,03;2,05
"descartar";0;0,11
"superior";0,1;0,2
"material";0,1;0,11
"dever";0,87;1,01
"souza";0;0,12
"meu";0,96;1,15
"80";0,19;0,17
"conhecimento";0,29;0,16
"prático";0;0,26
"primeiro";0,87;1,61
"apoio";0,1;0,25
"york";0;0,31
"embora";0,1;0,27
"cair";0;0,39
"capaz";0,19;0,15
"efeito";0,19;0,13
"carnaval";0;0,25
"felício";0;0,11
"sonho";0,29;0,2
"servidor";0,1;0,21
"distrito";0,1;0,15
"terceiro";0,1;0,28
"lugar";0,29;0,56
"centro";0,39;0,58
"bacia";0;0,23
"debate";0;0,12
"local";2,32;1,04
"maria";0;0,38
"partir";0,68;0,48
"itália";0,1;0,22
"trabalhar";1,25;0,84
"combater";0,19;0,1
"avô";0,29;0,19
"amigo";0,19;0,5
"bbc";0,19;0,67
"fã";0,39;0,1
"atirar";0,48;0,07
"nardoni";0,29;0,13
"diante";0,19;0,26
"responsável";0,68;0,25
"notícia";0;0,15
"manutenção";0,1;0,16
"privado";0,1;0,14
"criação";0;0,16
"preso";0,48;0,5
"índio";0,1;0,15
"presa";0,1;0,14
"consumo";0,1;0,14
"diminuir";0,1;0,12
"cometer";0,58;0,08
"criativo";0;0,12
"mito";0;0,12
"investir";0,19;0,14
"cheio";0;0,11
"citar";0,19;0,17
"mídia";0,1;0,14
"van";0,29;0,11
"volume";0;0,13
"fundo";0,19;0,23
"tema";0;0,19
"branco";0,29;0,32
"presença";0,29;0,08
"assunto";0,58;0,2
"oferecer";0;0,4
"stulbach";0;0,14
"homicídio";0,19;0,25
